DAY_OF_MONTH,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_DELAY
1,9,321,CLT,EWR,1
1,9,321,EWR,PHX,-2
1,9,367,MIA,EWR,-5
1,9,373,EWR,MIA,-5
1,9,1286,CLT,EWR,46
1,9,1286,EWR,CLT,20
1,9,1301,EWR,MIA,-1
1,9,1328,MIA,EWR,-8
1,9,1380,CLT,EWR,9
1,9,1384,CLT,EWR,3
1,9,1451,EWR,CLT,-6
1,9,1455,PHX,EWR,-3
1,9,1467,PHX,EWR,0
1,9,1468,EWR,PHX,-1
1,9,1489,CLT,EWR,-6
1,9,1496,CLT,EWR,2
1,9,2178,DFW,EWR,11
1,9,2181,EWR,DFW,126
1,6,757,EWR,PDX,-6
1,6,772,SAN,EWR,-6
1,6,773,EWR,SAN,24
1,6,774,PDX,EWR,-5
1,11,1289,EWR,SJU,-4
1,11,1290,SJU,EWR,8
1,11,1389,EWR,SJU,11
1,11,1406,FLL,EWR,64
1,11,1443,EWR,PBI,7
1,11,1444,PBI,EWR,0
1,11,1511,EWR,RSW,4
1,11,1512,RSW,EWR,24
1,11,1727,EWR,MCO,-6
1,11,1728,MCO,EWR,-12
1,11,1827,EWR,MCO,-8
1,11,1943,EWR,PBI,-10
1,11,1944,PBI,EWR,0
1,12,3764,BNA,EWR,-17
1,12,3773,BTV,EWR,-8
1,12,3774,BUF,EWR,1
1,12,3785,EWR,BTV,-4
1,12,3786,EWR,BUF,-5
1,12,3787,EWR,CHS,-7
1,12,3789,EWR,GSP,180
1,12,3792,CLE,EWR,-7
1,12,3794,EWR,ORF,-7
1,12,3795,EWR,PWM,4
1,12,3804,BTV,EWR,3
1,12,3810,JAX,EWR,-5
1,12,3811,EWR,CMH,-8
1,12,3812,EWR,SAV,31
1,12,3815,EWR,CMH,3
1,12,3824,CMH,EWR,-5
1,12,3824,EWR,CHS,-9
1,12,3829,EWR,BUF,-4
1,12,3831,EWR,ROC,50
1,12,3832,EWR,MKE,43
1,12,3845,EWR,DAY,-7
1,12,3864,EWR,ROC,-10
1,12,3866,OMA,EWR,-10
1,12,3871,CLE,EWR,-6
1,9,1037,EWR,MIA,-3
1,9,1037,MIA,EWR,-4
1,9,1056,ORD,EWR,117
1,9,2483,EWR,CLT,-2
1,9,2531,EWR,CLT,-2
1,9,2548,EWR,PHX,3
1,9,2638,EWR,DFW,-5
1,6,8,SEA,EWR,24
1,6,11,EWR,SEA,94
1,6,14,SEA,EWR,87
1,6,17,EWR,SEA,-6
1,11,5,EWR,FLL,-3
1,11,6,FLL,EWR,8
1,11,12,RSW,EWR,7
1,11,27,EWR,MCO,22
1,11,28,MCO,EWR,13
1,11,127,EWR,MCO,-6
1,11,205,EWR,FLL,19
1,11,211,EWR,RSW,-9
1,11,228,MCO,EWR,18
1,11,244,PBI,EWR,-19
