DAY_OF_MONTH,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_DELAY,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,N6_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,7,370,ATL,EWR,-4,0,,,,,
1,7,384,ATL,EWR,4,0,,,,,
1,7,668,DTW,EWR,0,0,,,,,
1,7,690,EWR,DTW,-10,0,,,,,
1,7,807,EWR,ATL,-5,0,,,,,
1,7,1089,EWR,ATL,-8,0,,,,,
1,7,1724,EWR,SLC,-4,0,,,,,
1,7,1724,SLC,EWR,28,0,,,,,
1,7,1780,EWR,ATL,-5,0,,,,,
1,7,1831,MSP,EWR,-3,0,,,,,
1,7,1878,ATL,EWR,6,0,,,,,
1,7,1920,EWR,ATL,-7,0,,,,,
1,7,1942,ATL,EWR,30,0,0,0,24,0,0
1,7,1942,EWR,ATL,23,0,,,,,
1,7,2125,EWR,MSP,-5,0,,,,,
1,7,2181,DTW,EWR,19,0,19,0,23,0,0
1,7,2398,EWR,ATL,-7,0,,,,,
1,7,2415,ATL,EWR,-12,0,,,,,
1,7,2450,EWR,DTW,-5,0,,,,,
1,7,2487,ATL,EWR,-4,0,,,,,
1,7,2750,EWR,MSP,-10,0,,,,,
1,12,4254,EWR,PVD,-7,0,,,,,
1,12,4257,MHT,EWR,-6,0,,,,,
1,12,4272,EWR,DCA,-1,0,,,,,
1,12,4272,MSN,EWR,-4,0,,,,,
1,12,4276,DCA,EWR,-6,0,,,,,
1,12,4294,EWR,SAV,-11,0,,,,,
1,12,4300,RIC,EWR,-11,0,,,,,
1,12,4304,JAX,EWR,56,0,0,0,40,0,0
1,12,4325,PWM,EWR,16,0,0,0,6,0,16
1,12,4327,EWR,DAY,-6,0,,,,,
1,12,4331,EWR,BTV,-1,0,,,,,
1,12,4345,PVD,EWR,-16,0,,,,,
1,12,4357,DAY,EWR,119,0,0,0,119,0,0
1,12,4377,EWR,JAX,-7,0,,,,,
1,12,4381,EWR,MSN,-6,0,,,,,
1,12,4395,EWR,PWM,81,0,81,0,15,0,0
1,12,4402,DCA,EWR,11,0,,,,,
1,12,4404,EWR,TYS,83,0,0,0,0,0,80
1,12,4412,PIT,EWR,,1,,,,,
1,12,4420,SAV,EWR,75,0,0,0,0,0,54
1,12,4422,EWR,STL,-2,0,,,,,
1,12,4435,BNA,EWR,75,0,37,0,0,0,29
1,12,4436,EWR,IND,-7,0,,,,,
1,12,4457,TYS,EWR,0,0,0,0,17,0,0
1,12,3971,CMH,EWR,62,0,0,0,0,0,52
1,12,3978,EWR,PWM,-6,0,,,,,
1,12,3981,BTV,EWR,39,0,0,0,44,0,0
1,12,3992,EWR,CLE,36,0,3,0,19,0,33
1,12,4000,CLE,EWR,-5,0,,,,,
1,12,4001,CVG,EWR,100,0,0,0,72,0,0
1,12,4010,EWR,BTV,-6,0,,,,,
1,12,4014,EWR,GSP,-6,0,,,,,
1,12,4024,EWR,PVD,67,0,14,0,0,0,40
1,12,4031,EWR,CVG,78,0,0,0,1,0,78
1,12,4032,PWM,EWR,505,0,493,0,0,0,0
1,12,4033,IND,EWR,-6,0,,,,,
1,12,4034,EWR,SYR,-9,0,,,,,
1,12,4037,CLE,EWR,58,0,0,0,43,0,0
1,12,4038,GRR,EWR,55,0,0,0,0,0,41
1,12,4046,EWR,PIT,,1,,,,,
1,12,4056,EWR,RIC,11,0,,,,,
1,12,4065,EWR,DCA,-4,0,,,,,
1,12,4068,EWR,CAK,50,0,18,0,11,0,32
1,12,4070,EWR,CLE,4,0,,,,,
1,12,4080,EWR,RIC,-1,0,,,,,
1,12,4088,SAV,EWR,-8,0,,,,,
1,12,4092,CAK,EWR,-4,0,,,,,
1,12,4097,MKE,EWR,56,0,0,0,41,0,0
1,12,4099,EWR,CMH,113,0,0,0,0,0,111
1,12,4113,EWR,IND,72,0,0,0,0,0,72
1,12,4116,EWR,BTV,-2,0,,,,,
1,12,4119,EWR,RIC,13,0,,,,,
1,12,4130,EWR,MKE,-5,0,,,,,
1,12,4143,EWR,GSO,-9,0,,,,,
1,12,4144,ROC,EWR,-2,0,,,,,
1,12,4151,EWR,BNA,-6,0,,,,,
1,12,4155,IND,EWR,126,0,0,0,127,0,0
1,14,2429,EWR,DEN,-5,0,0,0,34,0,0
1,14,2418,LAX,EWR,0,0,,,,,
1,14,2417,PDX,EWR,-9,0,,,,,
1,14,2415,EWR,PDX,-1,0,,,,,
1,14,2411,EWR,SMF,-5,0,,,,,
1,14,2406,EWR,FLL,26,0,0,0,0,0,18
1,14,2398,EWR,FLL,1,0,,,,,
1,14,2394,BOS,EWR,-4,0,,,,,
1,14,2394,EWR,LAX,2,0,,,,,
1,14,2391,SLC,EWR,94,0,68,0,0,0,0
1,14,2379,EWR,SAN,-5,0,,,,,
1,14,2356,EWR,MIA,-2,0,,,,,
1,14,2342,RDU,EWR,19,0,,,,,
1,14,2337,L6,EWR,-6,0,,,,,
1,14,2336,FLL,EWR,15,0,,,,,
1,14,2335,FLL,EWR,-10,0,,,,,
1,14,2334,FLL,EWR,3,0,,,,,
1,14,2333,EWR,RDU,-2,0,,,,,
1,14,2332,EWR,RDU,-5,0,,,,,
1,14,2328,EWR,MSY,74,0,6,0,2,0,68
1,14,2327,EWR,L6,-5,0,,,,,
1,14,2323,EWR,BOS,9,0,,,,,
1,14,2322,EWR,BOS,55,0,1,0,0,0,33
1,14,2321,EWR,BOS,-12,0,,,,,
1,14,2320,EWR,BOS,-5,0,,,,,
1,14,2313,RSW,EWR,8,0,,,,,
1,14,2312,CHS,EWR,-6,0,,,,,
1,14,2302,EWR,BZN,-4,0,,,,,
1,14,2297,ORD,EWR,4,0,,,,,
1,14,2293,EWR,RSW,29,0,14,0,4,0,15
1,14,2275,EWR,RSW,-4,0,,,,,
1,14,2275,FLL,EWR,-3,0,,,,,
1,14,2250,IAD,EWR,32,0,0,0,0,0,18
1,14,2248,PDX,EWR,-2,0,,,,,
1,14,2239,SFO,EWR,-7,0,,,,,
1,14,2224,LAX,EWR,-1,0,,,,,
1,14,2216,EWR,DEN,-2,0,0,0,17,0,0
1,14,2214,JAX,EWR,0,0,,,,,
1,14,2213,JAC,EWR,0,0,,,,,
1,14,2206,RSW,EWR,-5,0,,,,,
1,14,2203,SAV,EWR,54,0,0,0,32,0,0
1,14,2198,RSW,EWR,-6,0,,,,,
1,14,2189,TPA,EWR,-7,0,,,,,
1,14,2180,TPA,EWR,3,0,0,0,15,0,0
1,14,2174,PBI,EWR,-4,0,,,,,
1,14,2165,BOS,EWR,-8,0,,,,,
1,14,2163,SAN,EWR,-7,0,,,,,
1,14,2160,SFO,EWR,1,0,,,,,
1,14,2151,EWR,SEA,0,0,,,,,
1,14,2144,EWR,CLT,-8,0,,,,,
1,14,2143,CLE,EWR,-6,0,,,,,
1,14,2130,PBI,EWR,-10,0,,,,,
1,14,2126,RDU,EWR,-7,0,,,,,
