MONTH,DAY_OF_MONTH,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,DEST_CITY_NAME,DEP_DELAY,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,27,365,"Jacksonville, FL","Newark, NJ",-14,,,,,,
1,27,363,"Newark, NJ","Honolulu, HI",27,,0,0,0,0,19
1,27,362,"Honolulu, HI","Newark, NJ",8,,,,,,
1,27,355,"Newark, NJ","Houston, TX",1,,,,,,
1,27,353,"Hayden, CO","Newark, NJ",-3,,,,,,
1,27,343,"Boston, MA","Newark, NJ",-12,,,,,,
1,27,342,"Tampa, FL","Newark, NJ",-9,,,,,,
1,27,331,"Denver, CO","Newark, NJ",-3,,,,,,
1,27,309,"Newark, NJ","Rochester, NY",-10,,,,,,
1,27,308,"Newark, NJ","Miami, FL",-8,,,,,,
1,27,295,"Fort Lauderdale, FL","Newark, NJ",-8,,,,,,
1,27,291,"Newark, NJ","Jackson, WY",-2,,,,,,
1,27,282,"Newark, NJ","Denver, CO",-2,,,,,,
1,27,281,"Denver, CO","Newark, NJ",-6,,,,,,
1,27,280,"Newark, NJ","Boston, MA",-7,,,,,,
1,27,279,"Orlando, FL","Newark, NJ",-8,,,,,,
1,27,275,"Newark, NJ","Los Angeles, CA",-3,,,,,,
1,27,271,"Denver, CO","Newark, NJ",-7,,,,,,
1,27,247,"Atlanta, GA","Newark, NJ",-9,,,,,,
1,27,241,"Newark, NJ","Atlanta, GA",-6,,,,,,
1,27,224,"Atlanta, GA","Newark, NJ",-7,,,,,,
1,27,213,"Newark, NJ","Los Angeles, CA",1,,,,,,
1,27,212,"San Francisco, CA","Newark, NJ",-10,,,,,,
1,27,210,"Miami, FL","Newark, NJ",0,,,,,,
1,27,208,"Houston, TX","Newark, NJ",-3,,,,,,
1,26,2415,"Newark, NJ","Portland, OR",5,,,,,,
1,26,2414,"Newark, NJ","Atlanta, GA",-8,,,,,,
1,26,2410,"Fort Myers, FL","Newark, NJ",-5,,,,,,
1,26,2408,"Knoxville, TN","Newark, NJ",-3,,,,,,
1,26,2406,"Newark, NJ","Knoxville, TN",-12,,,,,,
1,26,2402,"Jackson, WY","Newark, NJ",-5,,,,,,
1,26,2395,"Miami, FL","Newark, NJ",-6,,,,,,
1,26,2394,"Newark, NJ","Los Angeles, CA",-1,,,,,,
1,26,2391,"Salt Lake City, UT","Newark, NJ",14,,,,,,
1,26,2384,"Newark, NJ","Fort Lauderdale, FL",-4,,,,,,
1,26,2172,"Newark, NJ","Houston, TX",0,,,,,,
1,26,2153,"Newark, NJ","Burlington, VT",-5,,,,,,
1,26,2145,"Hartford, CT","Newark, NJ",-8,,,,,,
1,26,2138,"Newark, NJ","Las Vegas, NV",9,,9,0,12,0,0
1,26,2124,"Orlando, FL","Newark, NJ",-3,,,,,,
1,26,2121,"Houston, TX","Newark, NJ",-4,,,,,,
1,26,2117,"Los Angeles, CA","Newark, NJ",-8,,,,,,
1,26,2062,"Newark, NJ","Boston, MA",-8,,,,,,
1,26,2050,"Myrtle Beach, SC","Newark, NJ",-22,,,,,,
1,26,2047,"Boston, MA","Newark, NJ",-5,,0,0,26,0,0
1,26,2041,"Newark, NJ","Denver, CO",11,,,,,,
1,26,2041,"Los Angeles, CA","Newark, NJ",-8,,,,,,
1,26,2038,"San Jose, CA","Newark, NJ",-5,,,,,,
1,26,2037,"Newark, NJ","Houston, TX",-7,,,,,,
1,26,2030,"Rochester, NY","Newark, NJ",-8,,,,,,
1,26,2020,"Newark, NJ","Raleigh/Durham, NC",-6,,,,,,
1,26,2015,"Newark, NJ","Chicago, IL",-8,,,,,,
1,26,2006,"Newark, NJ","San Francisco, CA",-8,,,,,,
1,26,2001,"Newark, NJ","Chicago, IL",-7,,,,,,
1,26,1995,"Chicago, IL","Newark, NJ",-8,,,,,,
1,26,1992,"Newark, NJ","Washington, DC",-9,,,,,,
1,26,1986,"Dallas/Fort Worth, TX","Newark, NJ",-8,,,,,,
1,26,1983,"Newark, NJ","Tampa, FL",-8,,,,,,
1,26,1983,"Fort Myers, FL","Newark, NJ",-7,,,,,,
1,26,1980,"Orlando, FL","Newark, NJ",-2,,,,,,
1,26,1978,"Newark, NJ","San Francisco, CA",-5,,,,,,
1,26,1976,"Phoenix, AZ","Newark, NJ",-8,,,,,,
1,26,1974,"Miami, FL","Newark, NJ",1,,,,,,
